epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.462,1.98592,1.93104,1.74168,0.35876,0.36431,0.31007,0.12548,2.04929,2.2176,1.65267,0.000554101,0.000554101,0.000554101
2,917.059,2.08908,2.07445,1.81671,0.35798,0.30642,0.25457,0.09967,2.11385,2.25717,1.68758,0.0010823,0.0010823,0.0010823
3,1934.49,2.13638,2.15589,1.8666,0.36477,0.31266,0.26709,0.10193,2.13286,2.29453,1.73558,0.001583,0.001583,0.001583
4,2286.7,2.11436,2.11995,1.84518,0.36109,0.30351,0.27365,0.10984,2.09402,2.26783,1.66376,0.00154323,0.00154323,0.00154323
5,2643.31,2.09472,2.09104,1.82746,0.43881,0.33744,0.32947,0.13325,2.07609,2.08364,1.65247,0.00150197,0.00150197,0.00150197
6,2998.66,2.0776,2.04139,1.81127,0.36844,0.36974,0.31461,0.12389,2.05966,2.1085,1.64382,0.00146071,0.00146071,0.00146071
7,3353.58,2.05666,2.00221,1.79951,0.46734,0.36081,0.35723,0.14674,2.03368,2.04272,1.66209,0.00141945,0.00141945,0.00141945
8,3706.52,2.04303,1.98724,1.77469,0.44229,0.38061,0.35788,0.15731,1.99436,2.01583,1.60769,0.00137819,0.00137819,0.00137819
9,4062.05,2.03943,1.95666,1.781,0.45566,0.38264,0.3609,0.15074,2.00443,2.04668,1.6249,0.00133693,0.00133693,0.00133693
10,4417.15,2.01358,1.93781,1.76149,0.42312,0.38449,0.35524,0.1454,1.98657,1.9872,1.58487,0.00129568,0.00129568,0.00129568
11,4774.23,2.01124,1.90147,1.75591,0.46878,0.37349,0.36728,0.1571,2.02874,1.9467,1.58,0.00125442,0.00125442,0.00125442
12,5129.55,2.00207,1.85375,1.73612,0.48128,0.41381,0.40058,0.17128,1.99059,1.90454,1.59458,0.00121316,0.00121316,0.00121316
13,5482.88,1.9906,1.86141,1.73564,0.43106,0.39799,0.35562,0.15253,2.00045,1.97779,1.57114,0.0011719,0.0011719,0.0011719
14,6239.56,1.97283,1.82921,1.72531,0.45774,0.39236,0.38594,0.1664,1.98225,1.91742,1.56237,0.00113064,0.00113064,0.00113064
