epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.917,1.77065,1.45256,1.56662,0.5477,0.49501,0.49582,0.21957,1.9129,1.61054,1.51209,0.000554101,0.000554101,0.000554101
2,744.277,1.84301,1.53699,1.60853,0.52855,0.43693,0.44932,0.1961,1.95955,1.73499,1.53184,0.0010823,0.0010823,0.0010823
3,1204.24,1.89165,1.63052,1.64503,0.51406,0.43648,0.44513,0.19568,1.95049,1.73827,1.52062,0.001583,0.001583,0.001583
4,1718.84,1.90268,1.65313,1.66026,0.50489,0.40494,0.40726,0.17462,1.96294,2.01281,1.54652,0.00154323,0.00154323,0.00154323
5,2155.9,1.90663,1.64562,1.65757,0.48145,0.38251,0.36971,0.15383,2.03766,2.03742,1.62082,0.00150197,0.00150197,0.00150197
6,2527.38,1.90052,1.63954,1.65756,0.53733,0.4692,0.46721,0.20238,1.93059,1.70152,1.52596,0.00146071,0.00146071,0.00146071
7,2940.27,1.89487,1.62941,1.64885,0.54031,0.4647,0.4754,0.20901,1.93365,1.71518,1.52481,0.00141945,0.00141945,0.00141945
8,3415.92,1.88258,1.63167,1.64003,0.53639,0.47124,0.47653,0.21628,1.90132,1.65728,1.52268,0.00137819,0.00137819,0.00137819
9,3809.95,1.88177,1.60517,1.63838,0.58579,0.47504,0.49367,0.21253,1.94819,1.65855,1.54289,0.00133693,0.00133693,0.00133693
10,4208.2,1.86042,1.58247,1.62685,0.52038,0.4514,0.45481,0.19773,1.92838,1.7675,1.53667,0.00129568,0.00129568,0.00129568
11,4582.51,1.87123,1.58519,1.6264,0.55971,0.47534,0.48644,0.21218,1.93923,1.66898,1.52089,0.00125442,0.00125442,0.00125442
12,4951.56,1.84946,1.52982,1.60594,0.57358,0.46631,0.49278,0.22102,1.91613,1.63397,1.49969,0.00121316,0.00121316,0.00121316
13,5318.99,1.84617,1.54,1.60691,0.55833,0.46098,0.47163,0.2046,1.96841,1.6605,1.52945,0.0011719,0.0011719,0.0011719
14,5684.71,1.83006,1.53025,1.59913,0.57351,0.45678,0.48939,0.21412,1.90668,1.65502,1.49083,0.00113064,0.00113064,0.00113064
15,6048.99,1.81822,1.51599,1.59568,0.53824,0.49264,0.49388,0.21938,1.91333,1.65059,1.49799,0.00108938,0.00108938,0.00108938
16,6415.77,1.80069,1.4958,1.5867,0.57735,0.51361,0.52651,0.23968,1.88059,1.55778,1.47422,0.00104813,0.00104813,0.00104813
17,6785.47,1.81,1.48855,1.58743,0.57469,0.49542,0.50768,0.22792,1.90472,1.61162,1.4958,0.00100687,0.00100687,0.00100687
18,7148.66,1.78763,1.4646,1.56822,0.55819,0.50169,0.50532,0.22687,1.91082,1.6016,1.50595,0.00096561,0.00096561,0.00096561
19,7513.57,1.77408,1.4381,1.56038,0.57774,0.50285,0.52422,0.23553,1.92171,1.54855,1.49782,0.000924352,0.000924352,0.000924352
20,7880.43,1.77843,1.43763,1.56753,0.55758,0.49368,0.49737,0.22327,1.89854,1.62441,1.48333,0.000883093,0.000883093,0.000883093
21,8246.06,1.76053,1.42342,1.54539,0.58771,0.50318,0.52396,0.23731,1.89887,1.55876,1.49299,0.000841835,0.000841835,0.000841835
22,8611.67,1.76745,1.41502,1.54466,0.59478,0.50652,0.52776,0.23218,1.90084,1.55828,1.4905,0.000800577,0.000800577,0.000800577
23,8976.07,1.74967,1.3925,1.53631,0.60364,0.50494,0.53481,0.24453,1.87741,1.51942,1.47641,0.000759318,0.000759318,0.000759318
24,9340.62,1.75396,1.37717,1.54399,0.6094,0.5136,0.55326,0.25124,1.88115,1.49789,1.46921,0.00071806,0.00071806,0.00071806
25,9703.64,1.75076,1.39045,1.5378,0.59823,0.50439,0.53201,0.24214,1.90749,1.52494,1.47569,0.000676802,0.000676802,0.000676802
26,10068.8,1.73877,1.3733,1.53018,0.63034,0.51862,0.5591,0.25153,1.88212,1.50202,1.48227,0.000635544,0.000635544,0.000635544
27,10434.1,1.71515,1.3482,1.51754,0.6039,0.52923,0.55345,0.25028,1.87841,1.4916,1.46378,0.000594286,0.000594286,0.000594286
28,10810.6,1.71483,1.3461,1.51397,0.62486,0.53725,0.56706,0.262,1.8707,1.47085,1.45898,0.000553027,0.000553027,0.000553027
29,11179.6,1.69942,1.32967,1.50835,0.63834,0.52758,0.57242,0.26586,1.84991,1.44839,1.45187,0.000511769,0.000511769,0.000511769
30,11547.3,1.6967,1.32132,1.50109,0.63032,0.52994,0.5718,0.26524,1.85173,1.44389,1.45357,0.000470511,0.000470511,0.000470511
31,11905,1.71822,1.24463,1.54123,0.63677,0.53953,0.57121,0.26476,1.84825,1.43697,1.44857,0.000429253,0.000429253,0.000429253
32,12262.8,1.68868,1.20313,1.51864,0.61983,0.53663,0.56927,0.26309,1.85104,1.46371,1.46129,0.000387994,0.000387994,0.000387994
33,12621.5,1.6719,1.1746,1.50977,0.63953,0.54589,0.58263,0.27106,1.84294,1.42126,1.4475,0.000346736,0.000346736,0.000346736
34,13015,1.65851,1.16295,1.48901,0.66203,0.53407,0.58453,0.27135,1.84946,1.41949,1.45396,0.000305478,0.000305478,0.000305478
35,13388.8,1.63968,1.14849,1.48193,0.65543,0.55027,0.59107,0.27348,1.84623,1.39748,1.44748,0.00026422,0.00026422,0.00026422
36,13760.2,1.63198,1.1316,1.4788,0.64184,0.54694,0.58758,0.27278,1.84574,1.39832,1.45474,0.000222961,0.000222961,0.000222961
37,14129,1.62181,1.11315,1.46674,0.6479,0.55126,0.59354,0.27643,1.843,1.38254,1.4471,0.000181703,0.000181703,0.000181703
38,14502.3,1.61226,1.11028,1.46552,0.66305,0.54175,0.59477,0.27695,1.84529,1.37929,1.44986,0.000140445,0.000140445,0.000140445
39,14874.6,1.59978,1.09594,1.46075,0.6445,0.55888,0.59763,0.28037,1.83869,1.36613,1.44892,9.91865e-05,9.91865e-05,9.91865e-05
40,15244.5,1.59538,1.09159,1.45291,0.66345,0.55304,0.60448,0.28209,1.83778,1.3641,1.44578,5.79283e-05,5.79283e-05,5.79283e-05
