epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2608.05,1.59497,3.0503,1.69948,0.49782,0.25941,0.22301,0.11448,1.9151,3.31904,2.02634,0.00999579,0.00333193,0.00999579,0.00333193,0.00999579,0.00333193,0.00999579,0.00333193
2,5045.13,1.61288,2.46886,1.71643,0.49435,0.1605,0.13493,0.05899,2.24562,3.43867,2.31311,0.019006,0.00633533,0.019006,0.00633533,0.019006,0.00633533,0.019006,0.00633533
3,7498.27,1.67608,2.41391,1.77218,0.35074,0.26338,0.20727,0.09106,2.02319,2.69717,2.12097,0.0270262,0.00900874,0.0270262,0.00900874,0.0270262,0.00900874,0.0270262,0.00900874
4,10177.2,1.66465,2.35431,1.77752,0.5296,0.30914,0.29423,0.15087,1.89887,2.48522,1.99109,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3921.03,1.59331,2.19034,1.72143,0.56117,0.34017,0.33456,0.17739,1.82255,2.26084,1.91419,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,7816.05,1.54703,2.08619,1.68082,0.57256,0.35549,0.36688,0.1989,1.77637,2.16269,1.86929,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,10305.9,1.51392,1.99694,1.64838,0.57165,0.39419,0.38813,0.20874,1.76435,2.08544,1.84012,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,13725.7,1.48796,1.93894,1.63019,0.53843,0.42788,0.42464,0.23934,1.72658,2.01064,1.80081,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,16151.7,1.47656,1.89555,1.61409,0.54705,0.42065,0.42793,0.23975,1.70035,1.98405,1.7737,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,19493.9,1.45517,1.85321,1.60029,0.59891,0.43899,0.4517,0.25168,1.67542,1.92441,1.74305,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,22832.3,1.56903,1.84811,1.71963,0.59369,0.43938,0.45897,0.26884,1.63613,1.85616,1.724,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,25180.8,1.54112,1.78594,1.69393,0.61843,0.47502,0.48078,0.28174,1.60901,1.80211,1.6987,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,27556.8,1.51414,1.7377,1.67216,0.62712,0.47763,0.49152,0.28872,1.59123,1.76477,1.68208,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,30823.1,1.48426,1.6833,1.6487,0.65377,0.47732,0.50954,0.30061,1.56958,1.72971,1.66061,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,33188.4,1.46057,1.636,1.62819,0.66582,0.48036,0.51509,0.31023,1.56398,1.69735,1.65049,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,35571.7,1.43901,1.59285,1.60934,0.5392,0.48822,0.51832,0.31191,1.55162,1.68168,1.63947,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,38340.7,1.41823,1.55343,1.59009,0.52907,0.52515,0.52737,0.32031,1.54281,1.65479,1.63217,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,41516.9,1.39419,1.51476,1.57001,0.54401,0.51765,0.52994,0.32088,1.53999,1.64027,1.62585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,44850.5,1.37264,1.48035,1.55466,0.5551,0.53587,0.53568,0.32369,1.53481,1.62825,1.6213,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,47476,1.35086,1.44455,1.5342,0.55379,0.52203,0.53846,0.32655,1.53117,1.61955,1.61725,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
